authorId,bookAuthor,Email,Password
A001,Cao Xueqin
A002,Johanna Spyri
A003,J. D. Salinger
A004,Jeffrey Archer
A005,Elbert Hubbard
A006,Anna Sewell
A007,Paulo Coelho
A008,Eric Carle
A009,J. P. Donleavy
A010,Umberto Eco
A011,Lucy Maud Montgomery
A012,George Orwell
A013,Emily Brontë
A014,Jack Higgins
A015,Gabriel García Márquez
A016,Richard Bach
A017,F. Scott Fitzgerald
A018,Antoine de Saint-Exupery
A019,Charles Dickens
A020,Vladimir Nabokov
A021,E. B. White
A022,Charlotte Brontë
A023,Beatrix Potter
A024,Harper Lee
A025,Robert James Waller
A026,V. C. Andrews
A027,Richard Adams
A028,J. R. R. Tolkien
A029,Dan Brown
A030,Carl Sagan
A031,Margaret Mitchell
A032,J. K. Rowling
A033,Jostein Gaarder
A034,Agatha Christie
A035,Stieg Larsson
A036,H. Rider Haggard
A037,Jane Austen

